,Men.Index,Men.Variant,"Men.Region, subregion, country or area *",Men.Country code,Men.Type,Men.Reference date (as of 1 July),Men.Population Men,Women.Population Women,Total Population
825,810,Estimates,Equatorial Guinea,226,Country/Area,2020,780.3800000000001,622.6049999999999,1402985.0
840,825,Estimates,Gabon,266,Country/Area,2020,1132.854,1092.8739999999998,2225728.0
855,840,Estimates,Sao Tome and Principe,678,Country/Area,2020,109.67500000000003,109.486,219161.0
885,870,Estimates,Botswana,72,Country/Area,2020,1139.0990000000004,1212.5259999999998,2351625.0
900,885,Estimates,Eswatini,748,Country/Area,2020,570.2359999999999,589.928,1160164.0
915,900,Estimates,Lesotho,426,Country/Area,2020,1056.9500000000003,1085.3020000000004,2142252.0
930,915,Estimates,Namibia,516,Country/Area,2020,1231.6830000000002,1309.2330000000002,2540916.0
945,930,Estimates,South Africa,710,Country/Area,2020,29216.011999999995,30092.678000000007,59308690.0
975,960,Estimates,Benin,204,Country/Area,2020,6054.248000000001,6068.950000000002,12123198.0
990,975,Estimates,Burkina Faso,854,Country/Area,2020,10444.713000000002,10458.564999999997,20903278.0
1005,990,Estimates,Cabo Verde,132,Country/Area,2020,279.11699999999996,276.87100000000004,555988.0
1020,1005,Estimates,Côte d'Ivoire,384,Country/Area,2020,13300.38,13077.895,26378275.0
1035,1020,Estimates,Gambia,270,Country/Area,2020,1198.5399999999995,1218.124,2416664.0
1050,1035,Estimates,Ghana,288,Country/Area,2020,15749.999000000002,15322.946,31072945.0
